backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
blst,bls12_381,native,swapped,4x4,cold,12,opening,30,9.23028,9.1895475,9.2496584,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,precompute,30,2.050081,2.042493,2.0656395,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,preparation,30,19.6046825,19.034492200000003,20.063289,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,share_generation,30,5.1169795,4.7696366999999995,5.1668352,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,validation,30,0.511758,0.5044987999999999,0.5206763999999999,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,acceptance,30,4.566068,4.548287999999999,4.5873194999999996,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,combiner,30,14.9901635,14.806992800000002,15.1018583,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,encryption,30,1.324495,1.3118318,1.341466,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,end_to_end,30,23.013495,22.801476400000002,23.4101235,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,opening,30,9.235447500000001,9.029724700000001,9.285061200000001,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,precompute,30,1.220812,1.1930731000000003,1.2340906000000003,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,share_generation,30,6.212635000000001,6.191717,6.677499500000001,0,0,0,0
blst,bls12_381,native,swapped,8x2,cached,12,validation,30,0.49644200000000005,0.48841699999999993,0.5046422,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,acceptance,30,4.5529399999999995,4.5334508,4.5754108,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,combiner,30,30.7229905,30.309938199999998,31.101468,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,encryption,30,1.3243595000000001,1.3122026,1.3402844,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,end_to_end,30,39.071511,38.316788599999995,39.7917778,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,opening,30,9.1885635,8.9604014,9.2250203,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,precompute,30,1.2132815,1.2037818999999998,1.2244841,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,preparation,30,15.78515,15.6082173,16.1318564,0,0,0,0
blst,bls12_381,native,swapped,8x2,cold,12,share_generation,30,6.423665,6.1779932,6.8332822,0,0,0,0
