config,error,total,cache,phase,N,W,q,tau,accepted_weight,samples,mean_ms,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
bls_avx_swapped_split2,1/16,32,cold,predec_per_validator,419,1580,1060,76,1062,30,0.15933011710526315,0.1594060592105263,0.15882497368421053,0.15977341973684211,,,,
bls_avx_swapped_split2,1/16,32,cold,preparation,419,1580,1060,76,1062,30,15.608506133333332,15.6088775,15.5379124,15.661107900000001,1,1,0,0
bls_avx_swapped_split2,1/16,32,cold,share_generation,419,1580,1060,76,1062,30,12.1090889,12.1148605,12.070698,12.142779899999999,0,0,0,0
bls_avx_swapped_split2,1/16,32,cold,validate_per_validator,419,1580,1060,76,1062,30,0.22590540219298247,0.22570974342105263,0.2251499960526316,0.22693384078947368,,,,
bls_avx_swapped_split2,1/16,32,cold,validation,419,1580,1060,76,1062,30,1.5435287333333332,1.544708,1.5249948,1.5610928000000002,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,acceptance,419,1580,1060,76,1062,30,28.0244365,27.808108500000003,27.6674571,28.9367436,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,combiner,419,1580,1060,76,1062,30,82.22350813333334,81.91364899999999,81.6805319,83.6955148,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,dec_open,419,1580,1060,76,1062,30,54.1988987,54.1075185,53.975064700000004,54.6163474,,,,
bls_avx_swapped_split2,1/16,64,cached,decryption_total,419,1580,1060,76,1062,30,106.73003250000001,105.855494,105.626616,109.3841467,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,encryption,419,1580,1060,76,1062,30,3.2974365333333333,3.295344,3.2844062,3.3130547,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,encryption_per_item,419,1580,1060,76,1062,30,0.05152244583333333,0.05148975,0.051318846875,0.0517664796875,,,,
bls_avx_swapped_split2,1/16,64,cached,end_to_end,419,1580,1060,76,1062,30,113.03010809999999,112.126122,111.8947836,115.67021460000001,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,opening,419,1580,1060,76,1062,30,49.41475523333334,49.365681499999994,49.2861251,49.4949385,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,precompute,419,1580,1060,76,1062,30,4.7841434666666665,4.7309975,4.6391808,5.0749572,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,predec_per_validator,419,1580,1060,76,1062,30,0.3224534171052632,0.3148756447368421,0.3142028947368421,0.32367444868421064,,,,
bls_avx_swapped_split2,1/16,64,cached,preparation,419,1580,1060,76,1062,30,2.166666666666667e-05,2e-05,2e-05,3e-05,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,share_generation,419,1580,1060,76,1062,30,24.5064597,23.930549,23.879420000000003,24.59925810000001,0,0,0,0
bls_avx_swapped_split2,1/16,64,cached,validate_per_validator,419,1580,1060,76,1062,30,0.3687425855263158,0.3658961644736842,0.3640454881578947,0.3807466263157895,,,,
bls_avx_swapped_split2,1/16,64,cached,validation,419,1580,1060,76,1062,30,3.0024808333333337,2.9847770000000002,2.9590219,3.0063605,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,acceptance,419,1580,1060,76,1062,30,27.844548866666667,27.7640625,27.6796614,27.8427231,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,combiner,419,1580,1060,76,1062,30,97.42194853333334,97.3409635,97.1627475,97.58115910000001,1,1,0,0
bls_avx_swapped_split2,1/16,64,cold,dec_open,419,1580,1060,76,1062,30,53.977910200000004,53.955139,53.843148299999996,54.1152086,,,,
bls_avx_swapped_split2,1/16,64,cold,decryption_total,419,1580,1060,76,1062,30,121.65877306666667,121.18262899999999,120.9936169,121.46698110000001,1,1,0,0
bls_avx_swapped_split2,1/16,64,cold,encryption,419,1580,1060,76,1062,30,3.2864849,3.287728,3.2741566,3.2987321,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,encryption_per_item,419,1580,1060,76,1062,30,0.0513513265625,0.05137075,0.051158696875,0.0515426890625,,,,
bls_avx_swapped_split2,1/16,64,cold,end_to_end,419,1580,1060,76,1062,30,127.94104886666668,127.4706615,127.26573,127.7254285,1,1,0,0
bls_avx_swapped_split2,1/16,64,cold,opening,419,1580,1060,76,1062,30,49.22769973333333,49.2142795,49.1631969,49.296346400000004,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,precompute,419,1580,1060,76,1062,30,4.750210466666667,4.7389385,4.6277411,4.8736466,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,predec_per_validator,419,1580,1060,76,1062,30,0.31890467280701756,0.3137763815789474,0.3132988,0.31492230789473685,,,,
bls_avx_swapped_split2,1/16,64,cold,preparation,419,1580,1060,76,1062,30,15.599325200000001,15.581654499999999,15.512462,15.694170100000001,1,1,0,0
bls_avx_swapped_split2,1/16,64,cold,share_generation,419,1580,1060,76,1062,30,24.236755133333336,23.847005,23.810708799999997,23.9340954,0,0,0,0
bls_avx_swapped_split2,1/16,64,cold,validate_per_validator,419,1580,1060,76,1062,30,0.3663756429824562,0.3653166118421053,0.3642060710526316,0.3663516197368421,,,,
bls_avx_swapped_split2,1/16,64,cold,validation,419,1580,1060,76,1062,30,2.9956100333333335,2.9842310000000003,2.9624159000000003,3.0049761999999998,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,acceptance,419,1580,1060,76,1062,30,65.69087633333334,70.1012795,54.893461699999996,71.44660180000001,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,combiner,419,1580,1060,76,1062,30,174.07891696666667,174.3099875,163.5323898,180.67494800000003,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,dec_open,419,1580,1060,76,1062,30,108.38785673333334,108.245859,100.1330636,117.08523799999999,,,,
