config,error,total,batch,cache,round,sample,phase,ms
blst_original,1/8,16,16,cold,1,1,encryption,1.12801
blst_original,1/8,16,16,cold,1,1,validation,0.35357599999999995
blst_original,1/8,16,16,cold,1,1,share_generation,2.683959
blst_original,1/8,16,16,cold,1,1,acceptance,9.99714
blst_original,1/8,16,16,cold,1,1,preparation,95.33606999999999
blst_original,1/8,16,16,cold,1,1,precompute,8.603765
blst_original,1/8,16,16,cold,1,1,opening,14.137300000000002
blst_original,1/8,16,16,cold,1,1,combiner,128.074405
blst_original,1/8,16,16,cold,1,1,decryption_total,130.758474
blst_original,1/8,16,16,cold,1,1,end_to_end,132.24012
blst_original,1/8,16,16,cold,1,1,dec_open,22.741065
blst_original,1/8,16,16,cold,1,1,encryption_per_item,0.070500625
blst_original,1/8,16,16,cold,1,1,predec_per_validator,0.04549083050847458
blst_original,1/8,16,16,cold,1,1,validate_per_validator,0.16944305084745762
blst_original,1/8,16,16,cold,1,2,encryption,1.071994
blst_original,1/8,16,16,cold,1,2,validation,0.328131
blst_original,1/8,16,16,cold,1,2,share_generation,2.6805239999999997
blst_original,1/8,16,16,cold,1,2,acceptance,9.646538
blst_original,1/8,16,16,cold,1,2,preparation,97.61772599999999
blst_original,1/8,16,16,cold,1,2,precompute,8.594512
blst_original,1/8,16,16,cold,1,2,opening,14.14428
blst_original,1/8,16,16,cold,1,2,combiner,130.003156
blst_original,1/8,16,16,cold,1,2,decryption_total,132.68378
blst_original,1/8,16,16,cold,1,2,end_to_end,134.083975
blst_original,1/8,16,16,cold,1,2,dec_open,22.738792
blst_original,1/8,16,16,cold,1,2,encryption_per_item,0.066999625
blst_original,1/8,16,16,cold,1,2,predec_per_validator,0.04543261016949152
blst_original,1/8,16,16,cold,1,2,validate_per_validator,0.1635006440677966
blst_original,1/8,16,16,cold,1,3,encryption,1.0947540000000002
blst_original,1/8,16,16,cold,1,3,validation,0.360886
blst_original,1/8,16,16,cold,1,3,share_generation,2.676279
blst_original,1/8,16,16,cold,1,3,acceptance,9.690489
blst_original,1/8,16,16,cold,1,3,preparation,93.27265299999999
blst_original,1/8,16,16,cold,1,3,precompute,8.590746999999999
blst_original,1/8,16,16,cold,1,3,opening,14.160502999999999
blst_original,1/8,16,16,cold,1,3,combiner,125.71454200000002
blst_original,1/8,16,16,cold,1,3,decryption_total,128.390921
blst_original,1/8,16,16,cold,1,3,end_to_end,129.846631
blst_original,1/8,16,16,cold,1,3,dec_open,22.75125
blst_original,1/8,16,16,cold,1,3,encryption_per_item,0.06842212500000001
blst_original,1/8,16,16,cold,1,3,predec_per_validator,0.045360661016949154
blst_original,1/8,16,16,cold,1,3,validate_per_validator,0.16424557627118644
blst_original,1/8,16,16,cold,1,4,encryption,1.0744570000000002
blst_original,1/8,16,16,cold,1,4,validation,0.33859500000000003
blst_original,1/8,16,16,cold,1,4,share_generation,2.240189
blst_original,1/8,16,16,cold,1,4,acceptance,9.780443
blst_original,1/8,16,16,cold,1,4,preparation,93.64966199999999
blst_original,1/8,16,16,cold,1,4,precompute,8.62959
blst_original,1/8,16,16,cold,1,4,opening,14.194619000000001
blst_original,1/8,16,16,cold,1,4,combiner,126.25446400000001
blst_original,1/8,16,16,cold,1,4,decryption_total,128.494743
blst_original,1/8,16,16,cold,1,4,end_to_end,129.907875
blst_original,1/8,16,16,cold,1,4,dec_open,22.824209000000003
blst_original,1/8,16,16,cold,1,4,encryption_per_item,0.06715356250000001
blst_original,1/8,16,16,cold,1,4,predec_per_validator,0.03796930508474576
blst_original,1/8,16,16,cold,1,4,validate_per_validator,0.16577022033898306
blst_original,1/8,16,16,cold,1,5,encryption,1.090248
blst_original,1/8,16,16,cold,1,5,validation,0.347899
blst_original,1/8,16,16,cold,1,5,share_generation,2.673734
blst_original,1/8,16,16,cold,1,5,acceptance,9.766533
blst_original,1/8,16,16,cold,1,5,preparation,98.093399
blst_original,1/8,16,16,cold,1,5,precompute,8.659270999999999
