scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,opening_per_item,0.879,0.879,ms/item,single_observation,reported,16,weighted PRF opening / unmask,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,cold_without_validation,84.716,84.716,ms,single_observation,reported,,post-validation cold-committee path,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,cached_without_validation,30.364,30.364,ms,single_observation,reported,,post-validation cached-committee path,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,cold_with_validation,85.184,85.184,ms,single_observation,reported,,full cold decryption incl client checks,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,cached_with_validation,30.832,30.832,ms,single_observation,reported,,full cached decryption incl client checks,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,dec_open,22.712,22.712,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,dec_total_without_validation,84.715,84.715,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,2,1,234,234,764,512,511,59,515,12,dec_cached_without_validation,30.363000000000007,30.363000000000007,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s002.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,crs_setup,0.69,0.69,ms,single_observation,reported,,powers-of-tau CRS setup,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,setup,128.346,128.346,ms,single_observation,reported,,weighted master key generation,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,fixed_kernel,6.174,6.174,ms,single_observation,reported,,fixed G2 FFT kernel,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,encryption,1.386,1.386,ms,single_observation,reported,,encrypt batch,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,encryption_per_item,0.087,0.087,ms/item,single_observation,reported,16,encrypt batch,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,validation,0.471,0.471,ms,single_observation,reported,,client proof validation,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,validation_per_item,0.029,0.029,ms/item,single_observation,reported,16,client proof validation,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,predec_all_validators,3.305,3.305,ms,single_observation,reported,,"partial decryptions, all N parties",beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,predec_all_validators_per_item,0.014,0.014,ms/item,single_observation,reported,234,"partial decryptions, all N parties",beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,acceptance,4.296,4.296,ms,single_observation,reported,,all-N server proofs / select V,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,preparation,54.558,54.558,ms,single_observation,reported,,committee interpolation / G2 MSMs,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,precompute,8.642,8.642,ms,single_observation,reported,,cross-term precompute,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,precompute_per_item,0.54,0.54,ms/item,single_observation,reported,16,cross-term precompute,beat_e8_m16_r1_s003.stdout.log
