backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
mcl,bls12_381,avx512,swapped,4x4,cold,12,validation,30,1.008758,0.9976555,1.0223602,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,acceptance,30,7.472441,7.4315257,7.5090901,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,combiner,30,19.7239565,19.691702,19.7948351,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,encryption,30,0.9872434999999999,0.9760559,0.9967732,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,end_to_end,30,22.820912999999997,22.7657417,22.8881046,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,opening,30,8.485304500000002,8.439841,8.5366102,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,precompute,30,3.756949,3.6873379,3.8716838000000005,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,share_generation,30,1.1605965,1.1533811,1.1702304000000001,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,validation,30,0.9434875,0.9305949,0.9528311,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,acceptance,30,7.4481825,7.4172917,7.4938299,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,combiner,30,125.878525,125.10905009999999,126.4932125,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,encryption,30,0.9844495,0.9749237000000001,1.0063194,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,end_to_end,30,128.962739,128.18495280000002,129.55152470000002,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,opening,30,8.446116,8.4061098,8.516002,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,precompute,30,3.965706,3.8504189,4.0018468,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,preparation,30,106.06188449999999,105.3020106,106.5852182,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,share_generation,30,1.1605415,1.1521448,1.1702769,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,validation,30,0.9352365,0.9259288999999999,0.9459091000000001,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,acceptance,30,6.248748,6.2068199,6.2780272,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,combiner,30,16.334794000000002,16.2178939,16.398093099999997,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,encryption,30,0.9876135,0.9773937,1.004036,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,end_to_end,30,19.748817000000003,19.6267669,19.8159614,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,opening,30,8.4568205,8.4265329,8.543584300000001,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,precompute,30,1.5918899999999998,1.5390991,1.6579142,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,share_generation,30,1.5029575,1.491589,1.5118511,0,0,0,0
mcl,bls12_381,off,normal,4x4,cached,12,validation,30,0.915084,0.8987902000000001,0.9260141,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,acceptance,30,6.1962255,6.1664368000000005,6.2340751,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,combiner,30,55.3712725,55.0304792,55.8112891,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,encryption,30,0.9869825,0.9760249,1.0002281,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,end_to_end,30,58.752379000000005,58.4022727,59.2166215,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,opening,30,8.399306,8.3485656,8.4688952,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,precompute,30,1.567442,1.5275328,1.6141857,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,preparation,30,39.2178275,38.935172,39.5931531,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,share_generation,30,1.4959280000000001,1.4902877,1.5044179,0,0,0,0
mcl,bls12_381,off,normal,4x4,cold,12,validation,30,0.908615,0.89432,0.920909,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,acceptance,30,6.4036755,6.318317599999999,6.4361196,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,combiner,30,19.695774,19.6485602,19.8180623,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,encryption,30,1.0861589999999999,1.0763159,1.098964,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,end_to_end,30,24.706443,24.6427609,24.8708503,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,opening,30,8.435326,8.3836539,8.4672793,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,precompute,30,4.9286155,4.8074208,4.981370500000001,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,preparation,30,2e-05,2e-05,2.1000000000000016e-05,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,share_generation,30,2.888389,2.8615149,2.8988562,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cached,12,validation,30,1.0426549999999999,1.0341762,1.0551071,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,acceptance,30,6.4158375,6.4052567,6.4529694,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,combiner,30,70.190316,70.07262180000001,70.5772378,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,encryption,30,1.0986815,1.0869035,1.1112242,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,end_to_end,30,75.22875350000001,75.100887,75.6467865,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,opening,30,8.4393765,8.429726800000001,8.4555059,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,precompute,30,4.8462825,4.703717,5.0450919,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,preparation,30,50.5075315,50.3143946,50.7316927,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,share_generation,30,2.8944725,2.8844839,2.9047997000000003,0,0,0,0
mcl,bls12_381,off,swapped,1x16,cold,12,validation,30,1.0512365,1.043242,1.0589562,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,acceptance,30,5.191798,5.1716068,5.2214795,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,combiner,30,15.377862499999999,15.3047017,15.4358852,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,encryption,30,1.0999984999999999,1.0888179,1.1096235,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,end_to_end,30,20.75072,20.6360031,20.825942299999998,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,opening,30,8.4620325,8.4318265,8.4727072,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,precompute,30,1.7154655,1.6711543,1.7783010000000001,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,preparation,30,2e-05,2e-05,2.190000000000001e-05,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,share_generation,30,3.2570759999999996,3.248917,3.2678802,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cached,12,validation,30,1.011687,1.0023709,1.0259964,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,acceptance,30,5.168476,5.1280239000000005,5.2023981,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,combiner,30,34.999103500000004,34.723533700000004,35.1616079,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,encryption,30,1.0909659999999999,1.0806226,1.1024436,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,end_to_end,30,40.3432915,40.035332,40.5120101,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,opening,30,8.4020595,8.356248500000001,8.449672999999999,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,precompute,30,1.7151494999999999,1.6784441,1.8314879000000002,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,preparation,30,19.668421,19.5233184,19.7565812,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,share_generation,30,3.2416400000000003,3.2185528,3.253771,0,0,0,0
mcl,bls12_381,off,swapped,4x4,cold,12,validation,30,1.0090785,0.989545,1.0236159,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,acceptance,30,5.232679,5.2110109,5.272229,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,combiner,30,14.317112999999999,14.1835559,14.5684493,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,encryption,30,0.7011645,0.6904614,0.7157975,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,end_to_end,30,16.470721,16.315953,16.7148005,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,opening,30,6.307733499999999,6.2968089,6.3247585,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,precompute,30,2.8110175,2.6577053,2.987952,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,preparation,30,2e-05,2e-05,2.1e-05,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,share_generation,30,0.718593,0.7135797,0.727906,0,0,0,0
mcl,bn254,off,normal,1x16,cached,12,validation,30,0.7203809999999999,0.705425,0.7347515,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,acceptance,30,5.24761,5.2322375,5.2784599000000005,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,combiner,30,72.8495455,72.5470774,73.0518683,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,encryption,30,0.7069924999999999,0.6939711000000001,0.7248752,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,end_to_end,30,75.0123155,74.7156407,75.2170629,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,opening,30,6.328132,6.3196167,6.3418614,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,precompute,30,2.878901,2.8124574,2.9905293,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,preparation,30,58.4032195,58.107927100000005,58.5410888,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,share_generation,30,0.723861,0.7180189,0.7298539,0,0,0,0
mcl,bn254,off,normal,1x16,cold,12,validation,30,0.7241365,0.716639,0.7358203,0,0,0,0
mcl,bn254,off,normal,4x4,cached,12,acceptance,30,4.31014,4.287484999999999,4.3453423,0,0,0,0
mcl,bn254,off,normal,4x4,cached,12,combiner,30,11.7946575,11.7017661,11.9200699,0,0,0,0
mcl,bn254,off,normal,4x4,cached,12,encryption,30,0.7044239999999999,0.6926284,0.7168943000000001,0,0,0,0
