scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,key_verification_bytes,918528,,bytes,single_observation,reported,,party verification keys,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,key_decryption_total_bytes,10328160,,bytes,single_observation,reported,,public decryption key,wpfe_e32_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,setup,2172.006,2172.006,ms,single_observation,reported,,trusted weighted key generation,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,encryption,1.428,1.428,ms,single_observation,reported,,encrypt batch,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,encryption_per_item,0.089,0.089,ms/item,single_observation,reported,16,encrypt batch,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,fixed_kernel,0.012,0.012,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,validation,0.87,0.87,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,validation_per_item,0.054,0.054,ms/item,internal_arithmetic_mean,reported,16,"ctxtCheck(B), batched client proofs",wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,predec_selected,3.322,3.322,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,predec_selected_per_item,0.042,0.042,ms/item,internal_arithmetic_mean,reported,79,"PreDec(B), all selected parties",wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,acceptance,11.329,11.329,ms,internal_arithmetic_mean,reported,,batched response acceptance,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,acceptance_per_item,0.143,0.143,ms/item,internal_arithmetic_mean,reported,79,batched response acceptance,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,preparation,507.232,507.232,ms,internal_arithmetic_mean,reported,,committee interpolation / G2 MSMs,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,preparation_per_item,31.702,31.702,ms/item,internal_arithmetic_mean,reported,16,committee interpolation / G2 MSMs,wpfe_e64_m16_r1.stdout.log
